StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID29,QID2,QID3,QID3_7_TEXT,QID4,QID5,QID6_1,QID6_2,QID6_3,QID7_1,QID7_2,QID7_3,QID8_1,QID8_2,QID8_3,QID11_1,QID11_2,QID11_3,QID11_4,QID11_5,QID11_6,QID13_1,QID13_2,QID13_3,QID13_4,QID13_5,QID13_6,QID13_7,QID13_8,QID13_9,QID13_10,QID13_11,QID26,QID28_1,QID28_2,QID28_3,QID28_4,QID28_5,QID27_1,QID27_2,QID27_3,QID14_1,QID14_2,QID14_3,QID14_4,QID14_5,QID14_6,QID14_7,QID14_8,QID16,QID17,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID25_1_TEXT
2026-02-11 13:19:03,2026-02-11 13:33:20,0,93.45.62.79,100,857,1,2026-02-11 13:33:20,R_2r1TuEnov7Q5vzk,,,,,41.8905,12.5127,anonymous,EN-GB,2,,2,1,,5,6,6,6,6,5,3,2,2,6,3,6,5,2,5,5,5,2,2,2,1,1,1,5,2,2,2,1,2,6,6,6,6,5,3,5,5,5,2,5,4,1,7,7,7,"Automate every repetitive and mind-numbing task;  Include tasks providing long-term value like writing documentation, robust code, maintanability etc. in everyday priorities;  Share persistent knowledge of the project among all team members so that everyone know what they are working on and what it is used for in the greater scheme;  Foster innovation, experiment new tools and methodologies, plan refactorings aimed at improving the maintanability of the code and discovering new, better ways to implement features.  Track every quirk and bug of the project and plan to fix them, even when the client knows nothing about them yet;  Ensure high observability by measuring the performances of the software product and its related infrastructure;    When things work well, every teammate is more satisfied and thus more productive. All the above suggestons help things work out sufficiently well even in the face of urgencies.",2,4,2,1,1,2,1,4,2,
2026-02-11 13:49:30,2026-02-11 13:54:41,0,217.216.60.233,100,311,1,2026-02-11 13:54:42,R_1dEbgrMcH3FDcxR,,,,,41.3253,19.8184,anonymous,EN-GB,2,,2,6,,5,6,5,5,6,6,6,4,4,4,4,7,7,4,6,5,5,5,3,5,1,3,4,4,3,4,4,4,2,6,6,5,6,7,3,4,3,3,3,1,4,2,2,3,6,,4,2,3,1,4,2,1,3,2,
2026-02-11 13:59:28,2026-02-11 14:02:24,0,94.160.111.118,100,175,1,2026-02-11 14:02:25,R_2rP7Av62uMpcLYL,,,,,41.5935,12.6607,anonymous,EN-GB,2,,2,2,,3,6,6,5,5,5,4,4,5,4,5,5,4,4,5,4,5,1,2,3,3,2,2,3,3,3,2,2,2,5,5,6,5,6,5,4,5,6,5,6,6,6,5,4,4,,4,3,1,1,1,2,2,4,2,
2026-02-11 16:10:30,2026-02-11 16:15:17,0,87.249.138.27,100,287,1,2026-02-11 16:15:18,R_3e9wPMY72oW9wBQ,,,,,40.7126,-74.0066,anonymous,EN-GB,2,,2,2,,5,6,5,6,6,5,3,4,3,1,4,6,6,2,7,3,6,3,4,4,2,4,3,5,4,4,3,4,2,6,6,6,7,6,5,4,5,3,3,1,5,3,1,2,2,,4,2,2,2,3,1,1,3,2,
2026-02-11 16:33:28,2026-02-11 16:37:10,0,217.217.113.137,100,222,1,2026-02-11 16:37:11,R_3diFAkuugqFuiDO,,,,,40.4422,-79.9927,anonymous,EN-GB,2,,2,1,,5,6,6,6,7,6,6,6,4,3,3,6,6,5,6,5,4,4,5,4,2,4,4,5,5,5,5,5,2,6,6,5,6,6,3,2,4,5,5,2,5,4,5,6,2,,5,2,3,1,5,2,2,4,2,
2026-02-11 18:49:12,2026-02-11 19:06:42,0,2.39.13.19,100,1050,1,2026-02-11 19:06:43,R_8sRYEHvG9rIKaek,,,,,45.6244,8.9533,anonymous,EN-GB,2,,2,1,,3,6,5,4,4,5,5,7,4,2,5,6,4,5,2,3,4,,,,,,,,,,,,2,2,5,4,5,,4,5,3,4,4,3,3,3,4,4,4,,,,,,,,,,,
2026-02-11 19:12:54,2026-02-11 19:13:54,0,85.190.232.7,100,60,1,2026-02-11 19:13:54,R_8mlqNmxzXD5jN7x,,,,,41.8905,12.5127,anonymous,EN-GB,2,,2,3,,5,6,5,6,4,5,2,6,5,1,1,6,6,7,6,5,7,5,5,4,4,1,3,4,5,5,4,3,2,5,5,6,7,6,4,4,4,2,2,3,4,6,3,2,2,,4,2,1,1,4,2,1,4,2,
2026-02-11 19:14:34,2026-02-11 19:18:45,0,81.17.121.66,100,251,1,2026-02-11 19:18:46,R_2aXbfOMZ01NNrlD,,,,,38.1302,13.329,anonymous,EN-GB,2,,2,1,,5,6,5,6,5,5,5,4,5,4,4,4,5,4,5,6,5,3,3,3,4,4,2,4,4,3,3,3,2,5,5,6,5,6,3,2,4,2,3,2,4,2,3,2,3,,5,3,2,1,3,1,1,5,2,
2026-02-11 21:06:11,2026-02-11 21:11:31,0,2.45.213.86,100,319,1,2026-02-11 21:11:31,R_28NKXUbxmseIaGZ,,,,,40.8449,14.2716,anonymous,EN-GB,2,,2,1,,5,6,4,4,4,4,4,4,4,4,4,,,,,,,2,3,3,2,2,3,3,3,2,2,3,2,,,,,,4,4,4,,,,,,,,,,4,3,,,,,,,,
2026-02-12 11:33:19,2026-02-12 11:47:37,0,160.80.176.179,100,857,1,2026-02-12 11:47:37,R_2YXuhBarIUXmFYR,,,,,41.8905,12.5127,anonymous,EN-GB,2,,2,4,,3,6,4,2,6,2,2,5,2,2,2,2,2,2,2,2,4,2,3,2,1,2,2,4,4,1,1,1,2,4,5,6,5,,6,5,6,2,2,6,4,5,5,4,4,,5,2,2,1,2,1,1,4,2,
2026-02-12 16:16:20,2026-02-12 16:23:06,0,78.210.251.166,100,405,1,2026-02-12 16:23:07,R_8Lvuvu4iAiHz5Uv,,,,,43.1479,12.1097,anonymous,EN-GB,2,,2,1,,5,6,7,7,7,7,7,4,7,7,5,2,4,5,6,4,4,3,2,2,1,2,3,1,3,3,1,3,2,6,6,6,7,7,3,1,6,6,6,4,4,4,4,6,4,,3,3,2,1,3,2,4,2,2,
2026-02-12 17:18:26,2026-02-12 17:23:28,0,92.177.72.24,100,301,1,2026-02-12 17:23:29,R_8hnMMKXSLaTYHVB,,,,,38.8745,-6.9978,anonymous,EN-GB,2,697a7863cf73644be87a1e6f,2,1,,2,6,3,2,4,3,3,2,2,3,2,3,3,2,3,4,3,2,2,3,2,2,3,3,2,3,2,2,2,5,5,6,5,4,4,5,3,4,3,5,6,5,5,4,5,Having lunch with my coworkers,3,3,2,1,2,1,1,2,2,
2026-02-12 17:24:08,2026-02-12 17:29:10,0,93.103.69.113,100,301,1,2026-02-12 17:29:10,R_2JFRCUkaYwU49tB,,,,,46.2285,14.6132,anonymous,EN-GB,2,69334e35c3847151e4a070ab,2,1,,5,6,6,6,6,6,6,6,6,4,4,5,3,6,5,5,5,3,3,2,2,2,3,4,3,2,3,3,2,7,7,7,7,7,3,3,5,1,1,6,6,5,6,5,5,Breathwork practices,5,4,3,2,5,4,2,5,2,
2026-02-12 17:26:06,2026-02-12 17:30:38,0,84.123.243.100,100,271,1,2026-02-12 17:30:38,R_2CQ7NktJcW4sma1,,,,,40.321,-3.7225,anonymous,EN-GB,2,697afff94b93220b848a7995,2,2,,5,6,3,5,5,5,3,2,2,3,2,2,1,2,5,2,3,1,3,2,1,4,2,3,2,2,2,2,2,6,6,5,6,5,5,3,6,1,2,3,3,3,5,6,4,,4,2,2,1,3,3,1,5,2,
2026-02-12 17:24:42,2026-02-12 17:32:41,0,187.254.104.80,100,478,1,2026-02-12 17:32:41,R_6feA21szlQjvId6,,,,,22.3349,-97.8901,anonymous,EN-GB,2,697a698388dd2a32e6ebd281,2,1,,5,6,5,4,5,1,1,1,1,1,1,4,4,5,4,5,5,2,3,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,7,7,6,1,1,4,7,4,7,1,4,"Have a little break, like 5 minutes when i feel overwhelmed.",5,4,1,1,3,3,2,5,2,
2026-02-12 17:27:03,2026-02-12 17:38:05,0,49.207.61.39,100,662,1,2026-02-12 17:38:06,R_4EjfMFipZiyZQIZ,,,,,12.9753,77.591,anonymous,EN-GB,2,697f45f71ca7b64152ba38ee,2,2,,4,6,5,4,5,3,4,3,3,2,2,5,4,5,5,3,5,2,3,3,1,2,1,2,3,3,3,3,2,5,5,5,5,6,4,4,4,6,6,3,5,4,6,5,5,,5,4,2,1,2,3,3,3,2,
2026-02-12 17:41:30,2026-02-12 17:44:26,0,82.154.221.82,100,176,1,2026-02-12 17:44:27,R_2f6LpAS8ayQ4cX7,,,,,38.7677,-9.3006,anonymous,EN-GB,2,609a7d5287ca8fb83e0780d4,1,1,,3,6,5,5,4,4,5,5,5,5,5,5,5,6,6,5,6,4,3,4,3,4,4,3,4,5,4,4,2,5,4,5,5,5,7,6,6,5,5,4,5,5,6,5,5,,4,3,,,,,,,,
2026-02-12 17:38:53,2026-02-12 17:45:45,0,46.205.205.113,100,412,1,2026-02-12 17:45:45,R_2pWDI9JZxxT77uB,,,,,52.4056,16.9302,anonymous,EN-GB,2,69820f04f41ddd75351cbc61,2,7,"Release Manager, DevOps Team",5,6,4,6,7,5,6,7,5,6,5,6,2,7,4,4,6,4,3,3,1,2,4,1,3,3,1,1,2,5,4,6,6,4,6,7,6,6,6,4,6,4,5,4,6,,5,4,3,1,4,2,1,4,2,
2026-02-12 17:40:26,2026-02-12 17:46:39,0,177.74.139.175,100,372,1,2026-02-12 17:46:40,R_6rA2sDYbnw6sz5f,,,,,-29.7592,-51.1477,anonymous,EN-GB,2,697b446ae0f4e86f31412eed,2,2,,3,6,1,1,4,7,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,2,7,1,7,7,7,4,2,4,6,5,4,7,3,7,7,7,,3,2,2,1,4,2,1,3,2,
2026-02-12 17:34:32,2026-02-12 17:47:22,0,176.101.182.85,100,770,1,2026-02-12 17:47:23,R_2TvZ8NdlYN6fqg1,,,,,48.5477,17.9431,anonymous,EN-GB,2,6932ba422722a936d9dc7159,2,1,,5,6,6,6,7,5,5,2,2,6,2,5,6,5,2,5,4,4,3,3,3,2,3,4,2,1,3,1,2,6,6,7,6,5,2,3,6,6,6,5,7,5,6,4,4,"meditation is helping a lot to me ",3,2,3,1,5,2,2,3,2,
2026-02-12 17:38:26,2026-02-12 17:51:07,0,47.60.41.45,100,761,1,2026-02-12 17:51:08,R_8ZWA3grouNoihCF,,,,,41.6592,-4.7331,anonymous,EN-GB,2,697a6b3dbf6c417556471fed,2,2,,5,6,5,5,5,3,2,2,2,3,3,4,2,3,4,3,2,1,4,3,1,1,2,2,2,1,2,1,2,5,5,5,5,3,5,6,6,2,3,5,5,4,5,6,6,,4,3,1,1,2,1,3,1,2,
2026-02-12 17:38:30,2026-02-12 17:51:49,0,49.37.171.176,100,798,1,2026-02-12 17:51:50,R_9f4VzgHRvmpvxoB,,,,,12.9753,77.591,anonymous,EN-GB,2,697caeea1d9b49b996af048e,2,1,,5,6,5,4,3,5,2,2,2,4,3,5,5,3,5,2,5,3,2,2,1,1,1,3,4,3,3,3,2,5,6,5,6,6,6,7,6,6,6,7,5,6,6,7,6,I listen to soundtracks like that of Interstellar and Inception ( Time) for reducing stress and focusing on my work.,5,4,2,1,2,2,2,3,2,
2026-02-12 17:52:10,2026-02-12 17:55:45,0,46.7.163.100,100,214,1,2026-02-12 17:55:45,R_8Fr1VXJhhiswbZa,,,,,53.3402,-6.2712,anonymous,EN-GB,2,69203091564a7d1a74700ed4,2,3,,4,6,2,2,5,7,6,6,5,3,2,2,5,6,5,6,2,2,4,4,1,1,1,4,1,1,3,4,2,5,5,3,5,6,2,2,5,5,3,3,7,3,5,5,5,,5,4,3,1,5,4,4,5,2,
2026-02-12 18:04:26,2026-02-12 18:08:53,0,106.222.239.32,100,267,1,2026-02-12 18:08:55,R_9vjhclEglSA90JP,,,,,9.9406,76.2653,anonymous,EN-GB,2,697cb8acec7bf3f603df92e2,1,1,,1,6,5,5,5,5,6,5,4,4,4,6,2,5,7,7,6,3,3,2,2,3,3,3,2,2,3,4,2,5,5,6,6,5,4,4,4,2,5,7,7,7,7,7,7,"Meditation ",5,3,,,,,,,,
2026-02-12 18:01:59,2026-02-12 18:10:24,0,152.237.40.111,100,505,1,2026-02-12 18:10:25,R_1Svk3Qs3FbYvqWj,,,,,-22.9201,-43.0811,anonymous,EN-GB,2,697b26a40a18cb80098cb10b,2,2,,5,6,6,5,5,5,5,6,3,5,6,5,5,6,5,5,6,5,4,2,1,1,3,5,3,2,2,3,2,6,6,7,7,6,2,6,5,2,2,3,2,1,5,5,4,Practicing my hobbies has helped me manage my work-related stress and accumulated emotional burden.,5,4,2,1,2,4,4,5,2,
2026-02-12 18:07:19,2026-02-12 18:14:19,0,173.32.223.171,100,419,1,2026-02-12 18:14:19,R_6fIgu0SfNcpx8m8,,,,,47.5351,-52.7614,anonymous,EN-GB,2,69341c14fe52b900eb539e7f,2,2,,3,6,2,3,3,6,6,6,5,5,5,3,2,4,3,3,2,2,4,3,1,1,1,5,4,2,2,2,2,4,5,5,5,6,3,3,3,6,5,2,4,2,2,4,4,Our whole team works from home and we are told to take any time we need if you are feeling stress and need some time to take a break. I find this to be quite good and a great perk of working from home.,3,2,5,1,5,3,1,5,2,
2026-02-12 18:17:03,2026-02-12 18:26:46,0,37.116.199.245,100,583,1,2026-02-12 18:26:47,R_2EGzVJ1t09NPnX0,,,,,45.7418,9.1302,anonymous,EN-GB,2,6977a49b8c2a9dbeaa67bee2,2,1,,5,6,4,4,3,5,5,2,5,2,5,4,2,3,5,2,2,1,3,3,1,1,1,4,3,3,3,2,2,6,5,5,6,5,3,4,5,6,3,2,2,2,2,4,4,,3,2,2,2,2,3,1,2,2,
2026-02-12 18:08:42,2026-02-12 18:28:46,0,45.180.10.235,100,1204,1,2026-02-12 18:28:46,R_5kobwZ40JRbDglz,,,,,20.3706,-90.0508,anonymous,EN-GB,2,6916591b8ee73c0c532d6fb4,2,3,,5,6,2,3,3,2,2,1,1,1,2,6,6,6,7,3,3,3,3,2,2,1,2,3,1,1,1,1,2,6,6,7,7,7,6,7,6,2,2,5,6,3,6,6,6,"Journaling has been very useful to identify the cause of my emotional strain, and manage it properly",5,4,2,1,3,4,2,5,2,
2026-02-12 18:30:41,2026-02-12 18:38:19,0,95.19.167.174,100,458,1,2026-02-12 18:38:20,R_2ODMFdiuMxrcO95,,,,,38.6283,-0.6716,anonymous,EN-GB,2,697c7d0b3c55fdce3e2a7438,2,1,,4,6,6,5,6,5,5,4,3,1,1,6,5,5,6,3,2,1,2,2,2,2,2,3,3,2,2,1,2,5,4,6,5,3,5,6,4,4,4,5,3,6,4,5,4,,4,4,2,1,2,3,1,5,2,
2026-02-12 18:36:58,2026-02-12 18:43:10,0,2.224.12.183,100,371,1,2026-02-12 18:43:10,R_8LdH3ZKPe6EVNej,,,,,44.7805,10.8777,anonymous,EN-GB,2,5e1b3b93f07b72359c0c4ffe,2,1,,3,6,3,3,2,2,3,2,,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,3,2,5,5,4,4,4,2,4,4,4,5,6,6,5,5,5,4,When I have a ton of work to complete my coworkers help me,4,3,3,1,2,2,1,3,2,
2026-02-12 18:38:44,2026-02-12 18:43:28,0,187.212.243.5,100,284,1,2026-02-12 18:43:29,R_6c6JVTgbDD2LpXi,,,,,20.6381,-103.348,anonymous,EN-GB,2,566bdeb3beaf21001240085a,2,2,,2,6,2,2,2,2,5,4,6,2,2,2,2,2,2,2,1,2,3,3,2,4,3,4,2,1,2,2,2,3,6,6,6,6,6,5,6,2,2,6,5,3,2,4,4,,5,2,3,3,5,2,1,4,2,
2026-02-12 18:58:44,2026-02-12 19:03:04,0,164.5.253.237,100,260,1,2026-02-12 19:03:05,R_2uVWdZO3R2T1GGJ,,,,,50.8534,4.347,anonymous,EN-GB,2,"692552ac22a1de86c4976464 ",2,1,,5,6,5,6,6,6,6,7,5,5,6,6,6,7,6,6,7,4,4,4,3,3,4,4,5,4,4,5,2,7,7,7,7,6,3,2,4,2,2,1,2,1,2,1,1,,4,3,2,2,3,2,1,3,2,
